antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Pullover'}),frozenset({'Leather'}),0.13494461228600202,0.12185297079556898,0.02416918429003021,0.1791044776119403,1.4698408782533612,0.0077257823901246275,1.0697427446672159,0.36951882033372135
frozenset({'Cords'}),frozenset({'Parka'}),0.11983887210473314,0.12588116817724068,0.022155085599194362,0.18487394957983194,1.468638655462185,0.007069628385607613,1.0723725874939005,0.36254420636571666
frozenset({'Parka'}),frozenset({'Cords'}),0.12588116817724068,0.11983887210473314,0.022155085599194362,0.17600000000000002,1.4686386554621849,0.007069628385607613,1.0681567086107608,0.36505027230833687
frozenset({'Camp Collared'}),frozenset({'Slim-Fit'}),0.13695871097683787,0.14602215508559918,0.02920443101711984,0.21323529411764705,1.460294117647059,0.009205424882536267,1.0854297841902665,0.3652275379229873
frozenset({'Slim-Fit'}),frozenset({'Camp Collared'}),0.14602215508559918,0.13695871097683787,0.02920443101711984,0.2,1.4602941176470587,0.009205424882536267,1.0788016112789527,0.3691037735849057
frozenset({'Shearling'}),frozenset({'Coach'}),0.13997985901309165,0.12890231621349446,0.026183282980866064,0.18705035971223022,1.451101618705036,0.008139554930840152,1.0715272393480024,0.361466402450009
frozenset({'Coach'}),frozenset({'Shearling'}),0.12890231621349446,0.13997985901309165,0.026183282980866064,0.203125,1.4511016187050358,0.008139554930840152,1.0792409612384732,0.3568697198755002
frozenset({'Mandarin Collar'}),frozenset({'Parka'}),0.11681772406847936,0.12588116817724068,0.021148036253776436,0.1810344827586207,1.4381379310344828,0.00644288468422969,1.0673450999098955,0.34495303252429826
frozenset({'Parka'}),frozenset({'Mandarin Collar'}),0.12588116817724068,0.11681772406847936,0.021148036253776436,0.168,1.4381379310344828,0.00644288468422969,1.0615171585715393,0.348529734474435
frozenset({'Flannel'}),frozenset({'Shearling'}),0.13595166163141995,0.13997985901309165,0.027190332326283987,0.19999999999999998,1.428776978417266,0.00815983789852228,1.0750251762336354,0.34731934731934716
frozenset({'Shearling'}),frozenset({'Flannel'}),0.13997985901309165,0.13595166163141995,0.027190332326283987,0.19424460431654675,1.428776978417266,0.00815983789852228,1.0723457056538628,0.34894613583138157
frozenset({'Cropped'}),frozenset({'Cardigan'}),0.12487411883182276,0.1299093655589124,0.023162134944612285,0.18548387096774194,1.427794448612153,0.006939817392441958,1.0682300858484641,0.3423725421523991
frozenset({'Cardigan'}),frozenset({'Cropped'}),0.1299093655589124,0.12487411883182276,0.023162134944612285,0.17829457364341084,1.427794448612153,0.006939817392441958,1.065011685572593,0.3443538647342996
frozenset({'Linen'}),frozenset({'Slim-Fit'}),0.12185297079556898,0.14602215508559918,0.025176233635448138,0.2066115702479339,1.4149330293530922,0.007383000236296577,1.0763679086941926,0.3339449541284405
frozenset({'Slim-Fit'}),frozenset({'Linen'}),0.14602215508559918,0.12185297079556898,0.025176233635448138,0.1724137931034483,1.4149330293530922,0.007383000236296577,1.061094326955354,0.3433962264150945
frozenset({'Cords'}),frozenset({'Camp Collared'}),0.11983887210473314,0.13695871097683787,0.023162134944612285,0.19327731092436973,1.4112086010874936,0.0067491574962299,1.069811597851628,0.3310615859118494
frozenset({'Camp Collared'}),frozenset({'Cords'}),0.13695871097683787,0.11983887210473314,0.023162134944612285,0.1691176470588235,1.4112086010874936,0.0067491574962299,1.0593089680863388,0.33762873522398645
frozenset({'Henley'}),frozenset({'Coach'}),0.14400805639476336,0.12890231621349446,0.026183282980866064,0.18181818181818182,1.4105113636363638,0.0076203109581775355,1.0646749468501735,0.34
frozenset({'Coach'}),frozenset({'Henley'}),0.12890231621349446,0.14400805639476336,0.026183282980866064,0.203125,1.4105113636363635,0.0076203109581775355,1.0741859684457873,0.33410404624277457
